"Site ID","Timestamp","Flow Rate (ML/day)","Quality code (Flow Rate)","","Quality code","Quality code definition","","Site info"
"212280","30-Mar-1975 09:00","39.834","4","","4","TS - Data adjusted during processing","","Site ID: 212280"
"212280","20-Apr-1975 09:00","396.276","4","","6","GAUGINGS/TS - Best available gauging; Pre 2024 - Good Gauging to AS3778; TS - Data adjusted during processing","","Site name: NATTAI RIVER AT THE CAUSEWAY"
"212280","23-Apr-1975 09:00","297.062","4","","7","RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way. Good Gauging","","Site commence: 06-Jul-1965 00:00"
"212280","12-May-1975 09:00","31.914","4","","9","RATINGS/TS - Large uncertainty - data in period not adjusted from sensing system measurement in any way","","Site cease: -"
"212280","21-Jun-1975 09:00","16332.24","4","","10","TS - Data adjusted during processing","","Zone: 56"
"212280","27-Jun-1975 09:00","1045.748","4","","11","TS-Synthetic or Artificial Data. Data which does not relate directly to the measured variable but for which a valid code is required","","IPART Regulated: -"
"212280","03-Aug-1975 09:00","64.093","4","","26","TS - Daily or accumulated or spot data","","Current Site Hydrometric: Active"
"212280","07-Aug-1975 09:00","65.601","4","","51","TS/GAUGINGS - Data Estimated or Indirect measurement","","Latitude: -34.14376"
"212280","12-Aug-1975 09:00","61.126","4","","130","Not quality coded - subject to change","","Longitude: 150.42477"
"212280","13-Aug-1975 09:00","88.318","4","","","","","Lat/Long Datum: WGS84"
"212280","14-Aug-1975 09:00","111.364","4","","","","","Elevation: 120"
"212280","15-Aug-1975 09:00","77.582","4","","","","","Zero Gauge: 24.695"
"212280","16-Aug-1975 09:00","65.601","4","","","","","Datum: ASS"
"212280","04-Nov-1975 09:00","250.386","4","","","","","Control: CONCRETE CAUSEWAY
"
"212280","10-Dec-1975 09:00","29.979","4","","","","","CTF Level: 24.763"
"212280","24-Jan-1976 09:00","3102.563","4","","","","","Variables monitored: Stream Water Level, Flow Rate, Flow Rate, Volume, Conductivity, Turbidity, Water Temperature, P H, Dissolved Oxygen"
"212280","03-Feb-1976 09:00","198.66","4","","","","","Water source: Upper Nepean and Upstream Warragamba, Upper Nepean and Upstream Warragamba"
"212280","14-Feb-1976 09:00","137.208","4","","","","",""
"212280","20-Feb-1976 09:00","1819.36","4","","","","",""
